,gsis_id,ra_epa_per_play,play_count,ra_epa_total_impact,display_name,position_group
178,00-0026157,-0.19351519347864377,288,-55.73237572184941,Gosder Cherilus,OL
179,00-0026158,-0.12913485970930288,4348,-561.478370016049,Joe Flacco,QB
180,00-0026160,0.07412562091620091,2668,197.76715660442403,Aqib Talib,DB
181,00-0026164,0.10036557930108922,149,14.954471315862294,Chris Johnson,RB
182,00-0026166,-0.013635153576304323,6753,-92.07819210078308,Duane Brown,OL
183,00-0026175,-0.05773899211235371,368,-21.247949097346165,Brandon Flowers,DB
184,00-0026176,0.058925131667478974,2801,165.0492938006086,Jordy Nelson,WR
185,00-0026180,0.03594570858364901,970,34.86733732613954,Tracy Porter,DB
186,00-0026182,0.08413425800332339,358,30.120064365189773,Eddie Royal,WR
187,00-0026184,-0.05655101654162841,865,-48.916629308508575,Matt Forte,RB
188,00-0026189,0.04918382353189677,2531,124.48425735923072,DeSean Jackson,WR
189,00-0026190,0.03903166336729758,6974,272.20682032353335,Calais Campbell,DL
190,00-0026194,0.21319186925571226,608,129.62065650747306,Jason Jones,DL
191,00-0026197,0.0483839948060108,195,9.434878987172105,Chad Henne,QB
192,00-0026201,-0.0011798849049122762,1540,-1.8170227535649053,Martellus Bennett,TE
193,00-0026205,-0.005209046467161968,1482,-7.7198068643340365,John Greco,OL
194,00-0026206,0.05737808996159943,319,18.30361069775022,Kendall Langford,DL
195,00-0026213,0.03294222188232688,258,8.499093245640335,Jamaal Charles,RB
196,00-0026217,0.07464644341876686,734,54.790489469374876,Pat Sims,DL
197,00-0026223,0.05767356770985715,1127,64.998110809009,Jeremy Zuttah,OL
198,00-0026224,0.005153507708522104,270,1.391447081300968,Harry Douglas,WR
199,00-0026232,0.17495997154630824,1119,195.78020816031892,Cliff Avril,DL
200,00-0026233,-0.02322796329149259,566,-13.147027222984807,Philip Wheeler,LB
201,00-0026240,-0.018815008080791236,1035,-19.47353336361893,Tyvon Branch,DB
202,00-0026243,0.037224902418034334,940,34.99140827295227,William Hayes,DL
203,00-0026248,-0.05531281523006099,168,-9.292552958650246,Kory Lichtensteiger,OL
204,00-0026253,-0.02938299946075308,1082,-31.792405416534834,Dwight Lowery,DB
