gsis_id,player_display_name,position_group,total_games,pass_share,completion_percentage,yards_per_completion,tds_per_completion,rush_share,yards_per_rush,tds_per_rush,reception_share,yards_per_reception,tds_per_reception,epa_per_snap,ra_epa_over_replacement
00-0033460,John Ross: 033460,WR,11,0.0661917382519182,0.6114240083334411,9.943464691845042,0.02965347872490809,0.02182768880775698,4.29288323745768,0.021685982654720472,0.0648679653719524,12.735275025027633,0.061203645072243795,0.014548915164043627,0.06731193948657692
00-0033466,Isaiah McKenzie: 033466,WR,63,0.05468735155435987,0.6114356738543252,9.943480702820821,0.029653604695816637,0.022114227598718107,4.292145059908761,0.02172308453204079,0.06080682868210353,12.347397110000893,0.062189355956140877,0.014551289172008151,0.06352745456228438
00-0033471,Isaiah Ford: 033471,WR,19,0.059541692383505776,0.6114240083334412,9.94346469184505,0.029653478724908092,0.020324025170786453,4.29193263354761,0.021687152237646168,0.06660237718268407,12.506293251795928,0.06092951642340599,0.014542437798618258,0.014556732068511179
00-0033474,Gehrig Dieter: 033474,WR,1,0.1015741192043488,0.611424008333441,9.943464691845042,0.029653478724908092,0.026503068387521703,4.2919326335476065,0.021687152237646168,0.09467385785585525,12.595774227709727,0.06107978939195514,0.014549333651088693,-0.003760336568166569
00-0033481,Marcus Kemp: 033481,WR,7,0.07422905302827511,0.611424008333441,9.94346469184504,0.029653478724908085,0.02287399826307316,4.2919326335476065,0.02168715223764617,0.06817611973015003,12.596897853723561,0.060995010577658125,0.014534677221595049,-0.028225341447418135
00-0033526,Samaje Perine: 033526,RB,66,0.06441434619043877,0.6138069070503301,9.911688461578708,0.029665238891688348,0.09050568994419071,4.269217823769912,0.023464936146645386,0.04472799285366547,7.90427065315527,0.04287530458528544,-0.005734339907153541,0.01448682415924039
00-0033528,Jeremy Sprinkle: 033528,TE,6,0.08575902662854713,0.6141767709887513,9.926874763578777,0.029639342763220666,0.025040036858756023,4.21151164386808,0.021161293515600584,0.07148844788696299,10.536042301268099,0.06024606850975241,0.009916659639321045,0.04298536830868126
00-0033536,Mike Williams: 033536,WR,46,0.053293988500193366,0.6114240083334402,9.943464691845053,0.02965347872490809,0.019250623544306778,4.291735951298878,0.021685535894163846,0.08031306432368927,12.955017468464067,0.06299920256206902,0.014765515147493505,0.052309138332150756
00-0033537,Deshaun Watson: 033537,QB,28,0.5425555858046411,0.5677365257959271,11.126367373995238,0.04940793586786323,0.06960856877660195,4.7863180267754855,0.030113513781222984,0.007083102024654259,9.78491662168136,0.05002018607665328,-0.012430610491154397,0.14990530176611125
00-0033550,Davis Webb: 033550,QB,1,0.5457688592017738,0.5613108113615515,10.983370381570566,0.04745660323278881,0.06803004222256098,4.7606291097959,0.03021866492679076,0.007548393437915994,9.784916621681358,0.05002018607665326,-0.016525897973283517,0.03214512468400346
00-0033553,James Conner: 033553,RB,56,0.0631912530001577,0.6138069070503298,9.911688461578706,0.02966523889168835,0.2121870773457474,4.269434351424093,0.026512896037035917,0.049337338793352045,7.823240336712702,0.04282211542266035,-0.0056798082528696486,0.07007963714646503
00-0033555,Mack Hollins: 033555,WR,48,0.0549422967395441,0.6114384382301555,9.9434045005355,0.029653473962997674,0.019739419322789897,4.2928826458114875,0.021683982010810385,0.06426571903274392,12.61548254563781,0.06188049924597636,0.014569918020132543,0.014095842574424845
00-0033556,Tarik Cohen: 033556,RB,3,0.10363059862190901,0.6138069070503298,9.9116884615787,0.02966523889168837,0.13143131730447807,4.2707946473763005,0.023105369314616996,0.053782040647322324,7.893784926543717,0.04282382567910523,-0.005753235886363475,0.04844517260374
00-0033557,Jalen Reeves-Maybin: 033557,LB,3,,,,,,,,,,,,0.009839007836908773
00-0033564,Jake Butt: 033564,TE,3,0.10184989266436857,0.6141767709887513,9.926874763578773,0.029639342763220666,0.027022509857441,4.21151164386808,0.021161293515600588,0.07660134614572556,10.521897247518831,0.060299765644941154,0.00990660874447268,-0.002563390095277323
00-0033566,Desmond King: 033566,DB,37,,,,,,,,,,,,0.02695445561278012
00-0033567,Brian Hill: 033567,RB,16,0.07050382410827294,0.6138069070503296,9.9116884615787,0.029665238891688386,0.11425929893885439,4.27498837429579,0.02283012956392392,0.04042118477488774,7.909887993788538,0.04271018408823196,-0.005768691409322891,0.006491798872367928
00-0033572,Jamal Agnew: 033572,WR,52,0.05577828250339395,0.6114026175308565,9.943464691845056,0.02965347872490809,0.02209380176385725,4.2958972311946155,0.021699428993064995,0.05956136328644735,12.414121156182167,0.06119612012673591,0.014423327613630625,0.023630231779990435
00-0033576,Eric Saubert: 033576,TE,27,0.06087976862342034,0.6141767709887511,9.926874763578775,0.029639342763220663,0.021046118403411834,4.211511643868081,0.021161293515600588,0.06220374241889497,10.468789246845857,0.06039771378507482,0.009884384339091652,-0.02066317310458267
00-0033589,David Moore: 033589,WR,27,0.057212079327683234,0.6114240083334415,9.943464691845046,0.02965347872490809,0.021250043036428613,4.293492433388414,0.021678327500666335,0.061637024102235524,12.64373462187047,0.06309879347284619,0.014583682286042591,0.09108317513283026
00-0033591,Noah Brown: 033591,WR,46,0.05392182149907664,0.6114240083334402,9.943464691845053,0.02965347872490809,0.019383886648828078,4.291693043788019,0.021685535894163846,0.06474212413974294,12.69735968375964,0.06058891440539527,0.014502311418264937,0.048394977241564524
00-0033594,Chris Carson: 033594,RB,17,0.07305636782797839,0.6138069070503296,9.9116884615787,0.029665238891688386,0.20614583645096965,4.285414040917265,0.024093737586927063,0.051774038676376824,7.866730436465292,0.04317456233682918,-0.005748666034447203,0.03064439901424306
00-0033611,Ricky Seals-Jones: 033611,TE,12,0.07041212972077569,0.6141767709887516,9.926874763578777,0.029639342763220652,0.022738597562378268,4.211511643868078,0.021161293515600584,0.07180602856229774,10.490155971977833,0.06039131909831581,0.009895876786051609,0.017351110426687178
00-0033627,Jason Croom: 033627,TE,1,0.11563924592254628,0.6141767709887513,9.926874763578773,0.029639342763220666,0.02845423031351309,4.21151164386808,0.021161293515600588,0.08073388844331601,10.53492075774891,0.06064112854231059,0.009920596698326886,0.009113826811856882
